Title_Marathi,Title_English,Author_Marathi,Author_English,Length,Number of Acts,Genre,First Performance Year,Submitted By,Male Characters,Female Characters,Pages,Property,Year of Writing,Availability,YouTube,Certified By,Length (in minutes)
सगळे उभे आहेत,Sagale Ubhe Aahet,Kshitij Patwardhan,Kshitij Patwardhan,300.0,2.0,Comedy; Satire,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
आभास,आभास,Pramod Khadilkar,Pramod Khadilkar,200.0,1.0,,2024.0,Nilaj Rukadikar ,0,0,0,Unknown,0,Print,nan,nan,200.0
बंडू नानू आणि गुलाबी हत्ती,बंडू नानू आणि गुलाबी हत्ती,गंगाधर गाडगीळ,गंगाधर गाडगीळ,,1.0,,2024.0,Chaitanya Godsay,0,0,0,,0,,,,
मृग-तृष्णा (Hindi Script),मृग-तृष्णा (Hindi Script),Unknown,Unknown,500.0,1.0,,2024.0,Rohit Dube,0,0,0,,0,,,,
तिची १७ प्रकरणे,Tichi 17 Prakarane,प्रदीप वैद्य, Pradip Vaidya,3.0,2.0,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
इंदिरा,इंदिरा,रत्नाकर मतकरी  ,रत्नाकर मतकरी  ,,2.0,,2024.0,Nilaj Rukadikar ,0,0,0,,0,,,,
बॅरिस्टर ,बॅरिस्टर ,जयवंत दळवी,जयवंत दळवी,600.0,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
गप्पा,गप्पा,योगेश सोमण,योगेश सोमण,,1.0,,2024.0,Samruddhi Ghaisas,0,0,0,,0,,,,
प्रथम पुरुषी,प्रथम पुरुषी,डॉ. चंद्रशेखर फणसळकर,डॉ. चंद्रशेखर फणसळकर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
Act,Act,योगेश सोमण,योगेश सोमण,,1.0,,2024.0,Niranjan Page,0,0,0,,0,,,,
Square-One,Square-One,Kashyap Deshpande,Kashyap Deshpande,,1.0,,2024.0,Amol Lele,0,0,0,,0,,,,
The exterminator,The exterminator, Madhav Vaze, Madhav Vaze,,,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
Vaishali Cottage,Vaishali Cottage,Suresh Jayram,Suresh Jayram,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
Briefcase,Briefcase,Rajenda Pophale,Rajenda Pophale,,1.0,,2024.0,Parag Kilche,0,0,0,,0,,,,
Bus-Stop,Bus-Stop,Sateesh Alekar,Sateesh Alekar,,1.0,,2024.0,Neeraj Kulkarni,0,0,0,,0,,,,
Identity,Identity,Yogesh Shejwalkar,Yogesh Shejwalkar,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
Popati Chaukat,Popati Chaukat,Girish Datar,Girish Datar,,1.0,,2024.0,Smita Khole,0,0,0,,0,,,,
माता द्रौपदी ,माता द्रौपदी ,विद्याधर पुंडलिक,विद्याधर पुंडलिक,,2.0,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
Ek Zhunja Waaryaashee,Ek Zhunja Waaryaashee,Pu La Deshpande,Pu La Deshpande,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
तुझी माझी जोडी,तुझी माझी जोडी,सई परांजपे,सई परांजपे,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
गुंफण,गुंफण,विनय नारायणे,विनय नारायणे,,1.0,,2024.0,Niranjan Page,0,0,0,,0,,,,
खेळ,खेळ,शिरीष लाटकर,शिरीष लाटकर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
कन्यादान,कन्यादान,विजय तेंडुलकर,विजय तेंडुलकर,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
पंडिता रमाबाई-अभिवाचन,पंडिता रमाबाई-अभिवाचन,ज्योत्स्ना देवधर,ज्योत्स्ना देवधर,,1.0,,2024.0,वसुंधरा गोविंद पर्वते,0,0,0,,0,,,,
Case No 99,Case No 99,योगेश सोमण,योगेश सोमण,,2.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
Goduchi Vaat ,Goduchi Vaat ,Pu La Deshpande,Pu La Deshpande,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
Adala Hari,Adala Hari,Pu La Deshpande,Pu La Deshpande,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
प्रासंगिक करार ,प्रासंगिक करार ,किरण पोत्रेकर,किरण पोत्रेकर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
चूक भूल द्यावी घ्यावी,चूक भूल द्यावी घ्यावी,दिलीप प्रभावळकर,दिलीप प्रभावळकर,,1.0,,2024.0,Sneha Gharpure,0,0,0,,0,,,,
Girhaik,Girhaik,डॉ. चंद्रशेखर फणसळकर,डॉ. चंद्रशेखर फणसळकर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
हाफ-पॅन्ट ,हाफ-पॅन्ट ,समीर विद्वांस,समीर विद्वांस,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
वो सात दिन ,वो सात दिन ,(वैभव परब),(वैभव परब),,2.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
तुझे आहे तुजपाशी,तुझे आहे तुजपाशी,Pu La Deshpande,Pu La Deshpande,,2.0,,2024.0,JayPrakash Chipalkatti,0,0,0,,0,,,,
फक्त स्त्रियांसाठी,फक्त स्त्रियांसाठी,दिलीप प्रभावळकर,दिलीप प्रभावळकर,,1.0,,2024.0,Sneha Gharpure,0,0,0,,0,,,,
माझी लुंगी खरेदी (पुण्यातल्या दुकानातून),माझी लुंगी खरेदी (पुण्यातल्या दुकानातून),Unknown,Unknown,,1.0,,2024.0,Sanjay Apte,0,0,0,,0,,,,
EXIT,EXIT, Arvind Limaye, Arvind Limaye,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
काळोख,काळोख,विजय तेंडुलकर,विजय तेंडुलकर,,1.0,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
सावधान - एक योगकथा ,सावधान - एक योगकथा ,विजय कान्हेरे,विजय कान्हेरे,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
Stopwatch,Stopwatch,Swati Ambole and Mandar Kulkarni,Swati Ambole and Mandar Kulkarni,,1.0,,2024.0,Mandar Kulkarni,0,0,0,,0,,,,
वैतथ्य,वैतथ्य,अनुप उपाध्ये,अनुप उपाध्ये,,1.0,,2024.0,Anup Upadhye,0,0,0,,0,,,,
छक्के पंजे ,छक्के पंजे ,राजेश शर्मा,राजेश शर्मा,,2.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
उणे पुरे शहर एक,उणे पुरे शहर एक,Girish Karnad/Pradip Vaidya,Girish Karnad/Pradip Vaidya,,2.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
मातीच्या गाड्याचे प्रकरण,मातीच्या गाड्याचे प्रकरण,राजीव नाईक,राजीव नाईक,,2.0,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
खिडकी,खिडकी,मधुराणी सप्रे,मधुराणी सप्रे,,1.0,,2024.0,मधुराणी सप्रे,0,0,0,,0,,,,
चोर आले पाहिजेत ,चोर आले पाहिजेत ,वसंत सबनीस,वसंत सबनीस,,1.0,,2024.0,Sneha Gharpure,0,0,0,,0,,,,
हरवले ते गवसले का,हरवले ते गवसले का,प्रल्हाद जाधव,प्रल्हाद जाधव,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
एडीज् लाईव्ह शो,एडीज् लाईव्ह शो,भालचंद्र पंडित,भालचंद्र पंडित,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
गोची शाकुंतल,गोची शाकुंतल,हॅरी विलियम,हॅरी विलियम,,1.0,,2024.0,Sanjay Pachpande,0,0,0,,0,,,,
काही खरं नाही,काही खरं नाही,विजय तेंडुलकर,विजय तेंडुलकर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
गाभारा,गाभारा,Pradip Vaidya,Pradip Vaidya,,1.0,,2024.0,Sayli Apte,0,0,0,,0,,,,
पार्टनर्स,पार्टनर्स,Unknown,Unknown,,1.0,,2024.0,Harshada Natekar ,0,0,0,,0,,,,
तेरी भी चूप ,तेरी भी चूप ,तेजस रानडे,तेजस रानडे,,1.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
खरं खरं सांग,खरं खरं सांग,नीरज शिरवईकर,नीरज शिरवईकर,,1.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
ओपन चॅलेंज,ओपन चॅलेंज,नितीन देव,नितीन देव,,1.0,,2024.0,Nitin Deo,0,0,0,,0,,,,
भोवरा,भोवरा,तारा वनारसे,तारा वनारसे,,1.0,,2024.0,JayPrakash Chipalkatti,0,0,0,,0,,,,
ब्लू फिल्म,ब्लू फिल्म,व. पु. काळे,व. पु. काळे,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
एका मिठीची कथा,एका मिठीची कथा,व. पु. काळे,व. पु. काळे,,1.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
Lost Connection,Lost Connection, Sanjay Pachpande, Sanjay Pachpande,,1.0,,2024.0,Sanjay Pachpande,0,0,0,,0,,,,
मीच ती देवयानी,मीच ती देवयानी,मानसी होलेहुन्नूर,मानसी होलेहुन्नूर,,1.0,,2024.0,Avadhoot Bhambare,0,0,0,,0,,,,
आलिशान,आलिशान,Guljaar/मंदार कुलकर्णी,Guljaar/मंदार कुलकर्णी,,1.0,,2024.0,Mandar Kulkarni,0,0,0,,0,,,,
2 Special,2 Special,Kshitij Patwardhan,Kshitij Patwardhan,,1.0,,2024.0,Chakrapani Chitnis,0,0,0,,0,,,,
जावई माझा भला,जावई माझा भला,रत्नाकर मतकरी  ,रत्नाकर मतकरी  ,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
Dreamsellers International,Dreamsellers International,रत्नाकर मतकरी,रत्नाकर मतकरी,,1.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
संध्याकाळ,संध्याकाळ,तारा वनारसे,तारा वनारसे,,1.0,,2024.0,JayPrakash Chipalkatti,0,0,0,,0,,,,
चेतना,चेतना,Anup Upadhye,Anup Upadhye,,1.0,,2024.0,Anup Upadhye,0,0,0,,0,,,,
लग जा गले ,लग जा गले ,Chakrapani Chitnis,Chakrapani Chitnis,,1.0,,2024.0,Chakrapani Chitnis,0,0,0,,0,,,,
zopi gelela jaga zala,zopi gelela jaga zala,baban prabhu,baban prabhu,,2.0,,2024.0,Mukund Marathe,0,0,0,,0,,,,
Koham,Koham,Laxman Londhe,Laxman Londhe,,1.0,,2024.0,Chaitanya Godsay,0,0,0,,0,,,,
dharmayoddha,dharmayoddha,Laxman Londhe,Laxman Londhe,,1.0,,2024.0,Chaitanya Godsay,0,0,0,,0,,,,
Chandrapur chya,Chandrapur chya,Vikram Watave,Vikram Watave,,1.0,,2024.0,Vikram Watave,0,0,0,,0,,,,
You&Me,You&Me,Dan rebello,Dan rebello,,1.0,,2024.0,Richa Wadekar,0,0,0,,0,,,,
स्वयंम,स्वयंम,आशा साठे,आशा साठे,,1.0,,2024.0,Anand Ghanekar,0,0,0,,0,,,,
ती येते आणिक जाते,ती येते आणिक जाते,धनदा कुलकर्णी-गदगकर,धनदा कुलकर्णी-गदगकर,,1.0,,2024.0,Mugdha Kulkarni,0,0,0,,0,,,,
